Sample_ID,Sample_orf_control,Roslin_ID,sample.date,Blood,NBF,RNAlater,finclip,First_gill_score,Second_gill_score,mean_gill_score,Weight,Length,Family,Ct,mngill,ct_group,gill_group2,gill_group,Axis.1,Axis.2,richness,shannon,simpson,ASV_1,ASV_4,ASV_17,ASV_11,ASV_8,ASV_18,ASV_15,ASV_1_INT,ASV_4_INT,ASV_17_INT,ASV_11_INT,ASV_8_INT,ASV_18_INT,ASV_15_INT
G546,TRUE_SAMPLE,546,06-Oct-15,1,1,1,B402_00546,4,4,4,480,358,B302_3459,29.97,4,Ct<30,MODERATE-ADVANCED,03-Apr,0.094689527,-0.139489871,27,4.677574954,3.08987452,0.439748073,0.353625464,0.031526549,0.036450899,0.00356837,0.031990437,0.03202612,0.301921554,0.392193489,0.43850955,0.43850955,-0.635007185,0.43850955,0.214049476
G482,TRUE_SAMPLE,482,06-Oct-15,1,1,1,B402_00482,3,2.5,2.75,717,404,B302_2821,28.88,2.75,Ct<30,LIGHT-MODERATE,02-Mar,0.185226087,0.137055627,12,4.879443059,3.456719668,0.48062587,0.156058,0,0,0.129352011,0.002867207,0.000327681,0.68788465,-0.485786363,-1.321182026,-1.430608769,1.430608769,-0.43850955,-0.923143931
G485,TRUE_SAMPLE,485,06-Oct-15,1,1,1,B402_00485,3,2.5,2.75,507,367,B302_2466,31.53,2.75,30<Ct<35,LIGHT-MODERATE,02-Mar,-0.120113437,0.084760671,12,6.121229376,5.474165183,0.162910689,0.233614061,0.000366166,0.163942612,0,0,0.231683366,-0.392193489,-0.127802736,-0.799968905,1.723789988,-1.225627238,-1.321182026,2.387808898
G522,TRUE_SAMPLE,522,06-Oct-15,1,1,1,B402_00522,3,3,3,765,405,B302_2340,29.01,3,Ct<30,LIGHT-MODERATE,03-Apr,-0.381939785,-0.185517324,16,2.679282001,1.646446279,0.065574874,0.772903434,0.024343309,0.011290236,0.066193885,0.003121972,0,-0.990286919,1.560490269,0.214049476,-0.485786363,0.990286919,-0.346704194,-1.430608769
G504,TRUE_SAMPLE,504,06-Oct-15,1,1,1,B402_00504,3,3,3,401,333,B302_2765,31.06,3,30<Ct<35,LIGHT-MODERATE,03-Apr,0.300678422,0.026707078,35,4.684280453,2.366543935,0.634462063,0.113912506,0.030272719,0.025036039,0.015562943,0.058427231,0.035215204,1.560490269,-0.742759799,0.392193489,-0.127802736,-0.214049476,0.742759799,0.346704194
G507,TRUE_SAMPLE,507,06-Oct-15,1,1,1,B402_00507,3,3,3,481,372,J258_3891,33.07,3,30<Ct<35,LIGHT-MODERATE,03-Apr,-0.108586697,-0.145025928,24,6.872986006,4.261815956,0.198107789,0.414563371,0.028216909,0.052942599,0.013163861,0.029153946,0.118459632,-0.257736636,0.742759799,0.301921554,0.799968905,-0.257736636,0.346704194,1.560490269
G510,TRUE_SAMPLE,510,06-Oct-15,1,1,1,B402_00510,2.5,2.5,2.5,663,388,J258_2141,42.14,2.5,Ct>35,LIGHT-MODERATE,02-Mar,-0.225877142,0.528958685,17,7.570740808,5.242076756,0.001879699,0.001101893,0,0,0.192571947,0,0,-1.952764915,-2.387808898,-1.321182026,-1.430608769,1.952764915,-1.321182026,-1.430608769
G566,TRUE_SAMPLE,566,06-Oct-15,1,1,1,B402_00566,3,3,3,666,392,B302_2765,39.5,3,Ct>35,LIGHT-MODERATE,03-Apr,-0.256491526,-0.161663204,30,6.219447188,3.094275944,0.090930506,0.549183914,0.003331651,0.030287733,0.06060912,0.05074878,0.04388356,-0.859924779,1.062220505,-0.346704194,0.170767252,0.859924779,0.635007185,0.534175181
G554,TRUE_SAMPLE,554,06-Oct-15,1,1,1,B402_00554,4,4,4,332,321,B302_2978,28.02,4,Ct<30,MODERATE-ADVANCED,03-Apr,0.324753851,0.017142319,19,4.262865877,2.316309814,0.644625189,0.080120418,0.036917714,0.040315482,0.051177775,0.000264075,0.039241576,1.723789988,-1.062220505,0.583848813,0.635007185,0.799968905,-0.859924779,0.485786363
G463,TRUE_SAMPLE,463,06-Oct-15,1,1,1,B402_00463,4,4,4,261,308,NA,26.28,4,Ct<30,MODERATE-ADVANCED,03-Apr,-0.301940019,-0.231144685,30,3.478260433,2.149507973,0.124406152,0.657732104,0.012088332,0.127405588,0.002868588,0.008696352,0.021620098,-0.68788465,1.225627238,0,1.430608769,-0.68788465,-0.127802736,-0.127802736
